"","average","sd","ratio","ava","avb","cumsum","contrib","Domain","Phylum","Class","Order","Family","Genus","Species"
"6260688e04360e2aaed35c8a1fbfd86f",0.000128849580045813,0.00013981527773677,0.921570104008217,3.4,2.25,0.967744410122128,0.000414254444285334,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-010","unclassified"
"2cf0267a31dc6f1b8ee65c913b8f6e4d",0.000127258844489692,0.000179971183809251,0.707106781186548,4,0,0.968153550314015,0.000409140191886759,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","unclassified","unclassified"
"ab17d7a2d07a07e5c7daaf8fec68d3cb",0.000127258844489692,0.000202270148699167,0.629152869605896,4,0,0.968562690505902,0.000409140191886759,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Lachnospiraceae NK4A136 group","unclassified"
"6637bf9b1495189a6b5027fcacf2f895",0.000127258844489692,0.00026112963911559,0.487339717240448,4,0,0.968971830697789,0.000409140191886759,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","unclassified","unclassified"
"99b1f53ba17848d8295ff8a4c047ce43",0.000127258844489692,0.00026112963911559,0.487339717240448,4,0,0.969380970889675,0.000409140191886759,"D_0__Bacteria","D_1__Bacteroidetes","D_2__Bacteroidia","D_3__Bacteroidales","D_4__Porphyromonadaceae","D_5__Butyricimonas","D_6__uncultured bacterium"
"0b03b4e824c1d7028167ed8ffccf217d",0.000127258844489692,0.000149580792180462,0.850769959395326,2.2,3,0.969790111081562,0.000409140191886759,"D_0__Bacteria","unclassified","unclassified","unclassified","unclassified","unclassified","unclassified"
"4a3aa55063131a9b4d18e1975528c4b0",0.000127258844489692,0.00026112963911559,0.487339717240448,4,0,0.970199251273449,0.000409140191886759,"D_0__Bacteria","D_1__Tenericutes","D_2__Mollicutes","D_3__Mollicutes RF9","unclassified","unclassified","unclassified"
"0eed68b5563332856b8585af7116d9bc",0.000127258844489692,0.000226144901155164,0.562731433871138,0,4,0.970608391465336,0.000409140191886759,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium"
"0e15737671741c707e2fc53a6bf0ff68",0.000122486637821329,0.000169066002214741,0.724490058419616,2.8,1.75,0.971002188900027,0.000393797434690923,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","unclassified","unclassified"
"44fcc23d837d151edccadc5ccd6db3ce",0.000119305166709086,0.000212010844832966,0.562731433871138,0,3.75,0.97138575782992,0.000383568929893885,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminococcaceae UCG-013","D_6__uncultured bacterium"
"290936b7a22a6a42d79551baa02f6066",0.000119305166709086,0.000212010844832966,0.562731433871138,0,3.75,0.971769326759814,0.000383568929893774,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium","D_6__uncultured bacterium"
"8c668e3b39522f601a79d187f2176be3",0.000117714431152965,0.000158939542483346,0.740623946147949,1.4,3,0.97214778143731,0.00037845467749531,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","D_5__Roseburia","unclassified"
"90ad6e241298294be313c4b66a92c53b",0.000114532960040723,0.000145390829874645,0.787759173941524,3.6,0,0.972516007610008,0.00036822617269805,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium","D_6__uncultured bacterium"
"de35e647b2c305cf8fe25f1f8acb0e3a",0.000114532960040723,0.000235016675204031,0.487339717240448,3.6,0,0.972884233782706,0.00036822617269805,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Lachnospiraceae","unclassified","unclassified"
"3857abee7cf8afa0371da7cd837bdc47",0.000114532960040723,0.000235016675204031,0.487339717240448,3.6,0,0.973252459955404,0.000368226172698161,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Clostridiales vadinBB60 group","D_5__uncultured bacterium","D_6__"
"fff5006f53953f7fac34c95f194d69eb",0.000112942224484602,0.000124068786113727,0.910319412499721,3.2,1.75,0.973615571875703,0.000363111920299475,"D_0__Bacteria","D_1__Tenericutes","D_2__Mollicutes","D_3__Mollicutes RF9","unclassified","unclassified","unclassified"
"24140251951eaf5a2582ac99e4e3850b",0.000108170017816238,0.000221960193248252,0.487339717240448,3.4,0,0.973963341038807,0.000347769163103751,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium 9","D_6__uncultured bacterium"
"4f34805acddc83228a28d3bd79565ffd",0.000108170017816238,0.000221960193248252,0.487339717240448,3.4,0,0.974311110201911,0.000347769163103639,"D_0__Bacteria","D_1__Firmicutes","D_2__Clostridia","D_3__Clostridiales","D_4__Ruminococcaceae","D_5__Ruminiclostridium","D_6__uncultured bacterium"
